#Put your IP range under the appropriate region section: EMEA, APAC or AMER.
#Above the IP range put a comment line in the format: Country-City
#Within the region - the entries should be in alphabetical order based on the Country-City comment.
# prefix,country_code,region_code,city,postal
#EMEA
####################################
#Armenia-Yerevan
#130.248.84.0/23,AM,AM-ER,Yerevan,
#Romania-Bucharest
130.248.80.0/23,RO,RO-B,Bucharest,
#UK-Reading
130.248.96.0/23,GB,GB-RDG,Reading,
#Dublin RADB Test
130.248.48.0/24,IE,IE-WW,Wicklow,A63H928,
#####################################
#APAC
#####################################
#Australia-Melbourne
130.248.118.0/23,AU,AU-VIC,Melbourne,
#Australia-Sydney
130.248.32.0/23,AU,AU-NSW,Sydney,
#Singapore-Singapore
130.248.116.0/23,SG,SG-01,Singapore,
#South-Korea-Seoul
130.248.120.0/23,KR,KR-11,Seoul,
#####################################
#AMER
#####################################
#USA-Virginia
192.147.118.0/23,US,US-VA,Ashburn,20147,
130.248.4.0/23,US,US-VA,Ashburn,20147,
#####################################
